id,landslide_type,trigger,fatality_count,injuries,location_accuracy(km),landslide_size,distance,population,latitude,longitude
3316,5,110,0,0,5,1,15.26492,0,8.2922,98.9153
5460,5,20,0,0,15,0,15.26312,1191,46.8189,-120.8603
5285,15,100,0,1,10,0,15.26259,47571,29.5659,80.3657
2094,15,10,13,0,25,1,15.23081,0,32.1632,108.8829
3520,35,10,6,1,5,1,15.19624,69302,3.1477,101.8258
3552,15,80,14,0,0,-1,15.19168,16497,39.407,141.7315
2589,5,10,2,0,5,0,15.19085,0,12.1143,102.2681
629,25,10,0,0,25,0,15.17455,13753,35.46,-105.19
3093,15,10,11,0,15,0,15.16843,25247,34.0347,73.3334
4695,15,20,0,0,5,1,15.16557,9152,1.0835,35.4707
5128,15,10,0,10,5,0,15.16116,130337,1.7417,-75.6568
5386,5,10,0,0,10,0,15.15678,1073,1.1971,35.2843
6280,15,0,0,0,5,0,15.15052,4000,27.8519,85.5248
1011,5,20,108,0,1,-1,15.14802,97385,40.1162,-105.3896
493,15,20,0,0,0,0,15.11717,0,34.6861,73.1879
4927,15,20,0,0,15,0,15.11456,21787,30.5728,77.6521
2459,15,10,0,0,50,0,15.11187,19873,29.5477,79.3211
442,15,20,2,0,10,0,15.11002,272691,-22.3758,-43.1314
3004,15,10,12,0,10,-1,15.10993,2033,44.2933,-124.0326
3305,15,10,0,0,0,0,15.08609,0,9.0103,99.0886
2901,15,10,0,0,15,0,15.07941,94066,13.3137,109.2164
1672,15,10,0,0,0,0,15.07609,6023699,-23.0145,-43.2915
3631,5,20,0,0,5,-1,15.07572,4488,47.7851,-114.0149
525,35,20,0,0,50,0,15.07199,25636,37.2199,69.7078
536,5,40,0,0,10,1,15.05984,0,31.0667,103.4833
811,35,10,1,0,50,0,15.05984,0,31.0667,103.4833
3472,15,20,0,0,10,0,15.05161,1355,10.1118,-83.9793
5110,5,10,0,0,5,0,15.04331,1320,37.9935,-108.0086
2049,15,10,6,0,50,0,15.03698,1495,31.5041,77.9521
5200,15,10,1,0,5,0,15.03611,98238,11.3192,76.5959
3370,5,10,0,0,5,-1,15.03444,823,39.0315,-81.5639
1227,15,10,0,0,10,0,15.02765,23296,28.1778,83.7
380,5,20,0,0,50,0,15.01823,9834,47.3434,-123.1628
6447,5,20,0,0,50,0,15.01277,3269,38.5313,-118.4526
3021,5,10,0,0,5,0,14.99911,145987,43.6626,-116.0303
5278,5,100,0,0,1,0,14.99263,25436,10.0539,76.8298
324,15,20,0,0,15,0,14.97909,778396,11.7792,78.2034
6587,15,60,0,0,15,0,14.97856,9383,-6.1014,145.0722
6437,5,10,4,0,5,0,14.97069,58448,-6.9343,110.1969
5277,5,100,0,0,1,-1,14.96174,25436,10.0539,76.8294
5657,15,0,0,0,25,0,14.92723,0,14.9627,108.3574
3773,15,10,1,0,50,0,14.92055,23296,28.178,83.6987
2040,15,10,0,0,25,0,14.91461,17123,30.638,78.3297
1490,5,20,0,0,10,-1,14.90347,4058,36.3141,-85.1808
4621,15,20,13,0,5,0,14.87911,88965,-6.8349,106.659
175,5,20,0,0,25,0,14.87649,22507,0.5,34.85
6799,15,30,13,0,15,0,14.87282,0,35.7275,71.7095
6330,15,20,2,0,1,-1,14.85816,23296,28.2724,83.7412
4910,15,10,14,0,15,0,14.83917,23296,28.376,83.4946
4439,15,10,0,0,1,0,14.83236,38113,32.6635,130.2964
2598,45,10,0,0,5,0,14.81614,1355,10.1067,-83.9753
3750,15,10,0,0,50,0,14.8033,17123,30.7652,78.5925
2956,5,10,0,0,10,0,14.79571,131258,-27.4601,152.0525
3770,15,10,0,0,0,0,14.78906,30902,39.935,125.4071
2065,35,10,0,0,10,0,14.77042,1041,42.7167,-77.5191
3592,5,10,0,0,0,0,14.76749,2278,60.5805,8.8143
2594,15,10,66,0,25,0,14.73478,20553,33.1847,75.8062
5016,15,40,0,0,50,1,14.72493,0,4.7735,96.9967
5598,15,10,1,0,5,0,14.72369,8341,32.3665,77.0857
5080,5,10,5,0,10,0,14.72352,2450,40.6893,-105.291
3527,35,10,0,0,5,-1,14.71664,3112,38.2717,-112.473
2447,15,10,1,0,25,0,14.71484,84775,27.509,85.1505
4694,15,20,0,0,5,1,14.70721,24661,0.4695,35.6128
6391,15,60,0,0,10,0,14.7015,0,1.9345,99.5577
